Type,Purpose,Furnishing,Price,Beds,Baths,Area_sqft,Address
Apartment,Sale,Unfurnished,"AED
15,860,000",4 beds,5 baths,"5,209 sqft","Six Senses Residences Dubai Marina, Dubai Marina, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
23,590,000",4 beds,5 baths,"5,209 sqft","Six Senses Residences Dubai Marina, Dubai Marina, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
27,895,000",4 beds,5 baths,"5,713 sqft","Six Senses Residences Dubai Marina, Dubai Marina, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
8,846,000",4 beds,5 baths,"3,417 sqft","Six Senses Residences Dubai Marina, Dubai Marina, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,600,000",1 bed,1 bath,764 sqft,"17 Icon Bay, Dubai Creek Harbour, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,012,870",2 beds,3 baths,926 sqft,"HZ Residences 5, International City Phase 2 (Warsan 4), International City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,391,874",Studio,1 bath,462 sqft,"Binghatti Skyrise Tower C, Binghatti Skyrise, Business Bay, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
700,000",1 bed,2 baths,504 sqft,"Rukan Residence, Rukan, Dubailand, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
4,000,000",4 beds,5 baths,"3,427 sqft","Mira 1, Mira, Reem, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
10,500,000",4 beds,4 baths,"4,018 sqft","The Meadows 9, The Meadows, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,220,000",2 beds,3 baths,"1,325 sqft","Plaza Residences Block B, Plaza Residences, JVC District 13, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,980,000",2 beds,2 baths,"1,019 sqft","Lagoon Views 12, Lagoon Views, DAMAC Lagoons, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,472,000",1 bed,1 bath,795 sqft,"Lagoon Views 12, Lagoon Views, DAMAC Lagoons, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
12,327,000",4 beds,5 baths,"2,937 sqft","Saria Tower, Dubai Maritime City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
2,635,000",2 beds,3 baths,"1,389 sqft","Sidr Residences, Expo City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
4,498,000",2 beds,3 baths,"1,401 sqft","Saria Tower, Dubai Maritime City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
2,125,888",2 beds,2 baths,"1,097 sqft","Terra Heights Building 2, Terra Heights, Expo City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
2,080,000",2 beds,2 baths,"1,095 sqft","Terra Heights Building 1, Terra Heights, Expo City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
2,985,000",2 beds,3 baths,"1,286 sqft","Saria Tower, Dubai Maritime City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
2,080,000",2 beds,2 baths,"1,097 sqft","Terra Heights Building 2, Terra Heights, Expo City, Dubai, UAE"
Townhouse,Sale,Unfurnished,"AED
3,532,888",3 beds,4 baths,"2,418 sqft","Greenspoint, Emaar South, Dubai South, Dubai, UAE"
Apartment,Sale,Furnished,"AED
6,171,828",3 beds,4 baths,"2,133 sqft","South Tower, Mercer House, Uptown Dubai, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
21,586,617",3 beds,4 baths,"4,564 sqft","Baccarat Hotel And Residences, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,041,584",1 bed,2 baths,733 sqft,"FH Residency, JVT District 3, Jumeirah Village Triangle (JVT), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
2,000,000",2 beds,3 baths,"1,778 sqft","Jumeirah Bay X1, JLT Cluster X (Jumeirah Bay Towers), Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
2,378,463",1 bed,2 baths,954 sqft,"Cotier House by Imtiaz, Dubai Islands, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,600,000",2 beds,3 baths,"1,595 sqft","Silicon Star, Dubai Silicon Oasis (DSO), Dubai, UAE"
Townhouse,Sale,Unfurnished,"AED
3,650,000",4 beds,4 baths,"4,709 sqft","Naseem Townhouses, Town Square, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,875,000",2 beds,4 baths,729 sqft,"Collective Tower 1, Collective, Dubai Hills Estate, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
7,900,000",2 beds,3 baths,"1,910 sqft","Sobha Seahaven Tower C, Sobha Seahaven, Dubai Harbour, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
3,100,000",2 beds,4 baths,"1,488 sqft","Crest Grande, Sobha Hartland, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
17,612,000",6 beds,7 baths,"6,872 sqft","Nad Al Sheba Gardens, Nad Al Sheba 1, Nad Al Sheba, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
654,000",1 bed,1 bath,554 sqft,"ELO, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE"
Apartment,Sale,Furnished,"AED
890,000",1 bed,2 baths,775 sqft,"The Wings C, The Wings, Arjan, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
4,268,800",1 bed,1 bath,"1,168 sqft","Palm Beach Tower 3, The Palm Beach Towers, Palm Jumeirah, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,808,888",1 bed,1 bath,729 sqft,"Parkwood Tower B, Parkwood, Dubai Hills Estate, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
943,304",Studio,1 bath,456 sqft,"Burj Al Nujoom, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
3,150,000",2 beds,4 baths,"1,387 sqft","The Crest Tower A, The Crest, Sobha Hartland, Dubai, UAE"
Apartment,Sale,Furnished,"AED
800,000",Studio,1 bath,458 sqft,"Samana Santorini, Dubai Studio City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
4,900,000",2 beds,2 baths,"2,163 sqft","Kempinski Marina Residences, Dubai Marina, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
4,300,000",2 beds,2 baths,"1,816 sqft","Kempinski Marina Residences, Dubai Marina, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
3,200,000",1 bed,1 bath,839 sqft,"Address The Bay, Emaar Beachfront, Dubai Harbour, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
2,200,000",1 bed,1 bath,570 sqft,"Seapoint Tower 2, Seapoint, Emaar Beachfront, Dubai Harbour, Dubai, UAE"
Apartment,Sale,Furnished,"AED
935,000",1 bed,1 bath,583 sqft,"Maimoon Gardens Tower B, Maimoon Gardens, JVC District 11, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
5,600,000",2 beds,2 baths,"1,259 sqft","Address The Bay, Emaar Beachfront, Dubai Harbour, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
11,200,000",3 beds,4 baths,"1,944 sqft","Address The Bay, Emaar Beachfront, Dubai Harbour, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
730,000",1 bed,1 bath,554 sqft,"ELO, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE"
Villa,Sale,Unfurnished,"AED
5,575,000",3 beds,3 baths,"3,252 sqft","Casa, Arabian Ranches 2, Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,267,011",1 bed,1 bath,"1,029 sqft","Marriott Residences JLT, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,055,821",1 bed,1 bath,971 sqft,"Marriott Residences JLT, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Furnished,"AED
3,199,421",2 beds,2 baths,"1,499 sqft","Marriott Residences JLT, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Furnished,"AED
3,214,891",2 beds,2 baths,"1,492 sqft","Marriott Residences JLT, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Furnished,"AED
4,948,221",3 beds,3 baths,"2,193 sqft","Marriott Residences JLT, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Furnished,"AED
4,944,111",3 beds,3 baths,"2,193 sqft","Marriott Residences JLT, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Furnished,"AED
4,557,888",3 beds,5 baths,"1,848 sqft","Altan, Dubai Creek Harbour, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
715,000",Studio,1 bath,442 sqft,"Parkside Boulevard by Tabeer, Arjan, Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,386,700",2 beds,3 baths,"1,280 sqft","Diamond Building, Jumeirah Garden City, Al Satwa, Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,285,850",2 beds,3 baths,"1,280 sqft","Diamond Building, Jumeirah Garden City, Al Satwa, Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,457,162",2 beds,3 baths,"1,365 sqft","Diamond Building, Jumeirah Garden City, Al Satwa, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
8,900,000",4 beds,6 baths,"4,672 sqft","Sobha Reserve, Dubailand, Dubai, UAE"
Apartment,Sale,Furnished,"AED
4,300,000",2 beds,3 baths,"2,021 sqft","Palazzo Versace, Culture Village (Jaddaf Waterfront), Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,290,722",2 beds,3 baths,"1,327 sqft","Diamond Building, Jumeirah Garden City, Al Satwa, Dubai, UAE"
Apartment,Sale,Furnished,"AED
4,300,000",2 beds,3 baths,"2,021 sqft","Palazzo Versace, Culture Village (Jaddaf Waterfront), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
890,000",Studio,1 bath,448 sqft,"Global Lake View, JLT Cluster E, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,920,744",2 beds,3 baths,"1,645 sqft","Diamond Building, Jumeirah Garden City, Al Satwa, Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,286,525",2 beds,3 baths,"1,365 sqft","Diamond Building, Jumeirah Garden City, Al Satwa, Dubai, UAE"
Apartment,Sale,Furnished,"AED
3,600,000",2 beds,3 baths,"1,492 sqft","North Tower, Mercer House, Uptown Dubai, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,709,888",1 bed,2 baths,762 sqft,"Parkwood Tower A, Parkwood, Dubai Hills Estate, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
4,600,000",4 beds,5 baths,"3,102 sqft","The Fields, District 11, Mohammed Bin Rashid City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,800,000",2 beds,2 baths,"1,157 sqft","Avenue Residence 5, Al Furjan, Dubai, UAE"
Townhouse,Sale,Unfurnished,"AED
2,200,000",3 beds,5 baths,"1,908 sqft","Odora, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
8,654,889",3 beds,4 baths,"2,617 sqft","Dubai Harbour Residences, Dubai Harbour, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
700,000",1 bed,1 bath,682 sqft,"La Vista Residence 1, La Vista Residence, Dubai Silicon Oasis (DSO), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,300,000",1 bed,1 bath,764 sqft,"Binghatti Phoenix, JVC District 13, Jumeirah Village Circle (JVC), Dubai, UAE"
Townhouse,Sale,Unfurnished,"AED
4,250,000",6 beds,7 baths,"4,755 sqft","Claret, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE"
Villa,Sale,Unfurnished,"AED
4,900,000",2 beds,3 baths,"2,691 sqft","JVT District 3, Jumeirah Village Triangle (JVT), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,900,000",3 beds,3 baths,"2,179 sqft","Al Thamam 06, Al Thamam, Remraam, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
4,830,888",4 beds,4 baths,"3,688 sqft","Rivera, The Valley by Emaar, Dubai, UAE"
Townhouse,Sale,Unfurnished,"AED
4,000,000",3 beds,4 baths,"1,478 sqft","MAG Eye Townhouses, MAG City, District 7, Mohammed Bin Rashid City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
7,300,000",3 beds,3 baths,"2,005 sqft","Thyme at Central Park, Central Park, City Walk, Al Wasl, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
3,150,000",2 beds,3 baths,"1,433 sqft","The Lofts East, The Lofts, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,700,000",1 bed,2 baths,"1,224 sqft","Marina View Tower B, Marina View Tower, Dubai Marina, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
14,000,000",5 beds,7 baths,"8,418 sqft","South Bay 4, South Bay, Residential District, Dubai South, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
3,100,000",2 beds,3 baths,"1,078 sqft","Downtown Views II Tower 3, Downtown Views II, Za'abeel 2, Za'abeel, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
620,000",Studio,1 bath,421 sqft,"Azizi Vista, Dubai Studio City, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
4,820,888",4 beds,5 baths,"3,694 sqft","Rivera, The Valley by Emaar, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
700,000",1 bed,1 bath,640 sqft,"MAG 525, MAG 5 Boulevard, Dubai South, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,622,191",2 beds,2 baths,"1,221 sqft","Exotica by Al Marina, JVC District 17, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,800,000",3 beds,4 baths,"2,327 sqft","Trident Waterfront, Dubai Marina, Dubai, UAE"
Apartment,Sale,Furnished,"AED
670,000",Studio,1 bath,437 sqft,"DAMAC Ghalia, JVC District 18, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
920,000",1 bed,2 baths,671 sqft,"Tower A, Rukan Tower, Rukan, Dubailand, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,019,001",1 bed,1 bath,657 sqft,"Exotica by Al Marina, JVC District 17, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,463,575",2 beds,2 baths,"1,141 sqft","Exotica by Al Marina, JVC District 17, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
6,200,000",2 beds,2 baths,"1,163 sqft","Beach Vista 1, Beach Vista, Emaar Beachfront, Dubai Harbour, Dubai, UAE"
Townhouse,Sale,Unfurnished,"AED
2,190,000",2 beds,3 baths,"2,188 sqft","The Pulse Townhouses, The Pulse, Residential District, Dubai South, Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,100,000",2 beds,3 baths,"1,329 sqft","Elite Residence, Dubai Marina, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,500,000",1 bed,1 bath,792 sqft,"MAG City, District 7, Mohammed Bin Rashid City, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
2,500,000",2 beds,3 baths,"1,756 sqft","The Pulse Villas, The Pulse, Residential District, Dubai South, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
5,332,320",2 beds,3 baths,"1,334 sqft","Bluewaters Bay Building 2, Bluewaters Bay, Bluewaters Island, Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,500,000",2 beds,2 baths,"1,619 sqft","Golf Promenade 3A, Golf Promenade 3, Golf Promenade, Golf Town, DAMAC Hills, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,565,899",3 beds,3 baths,"1,365 sqft","Forest City Tower, Majan, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
909,889",Studio,1 bath,469 sqft,"Sky Suites by Peace Homes, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,330,871",1 bed,1 bath,883 sqft,"Sky Suites by Peace Homes, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,250,194",1 bed,1 bath,830 sqft,"Sky Suites by Peace Homes, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,300,000",2 beds,3 baths,"1,499 sqft","Hercules Tower, Living Legends, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,428,000",1 bed,2 baths,712 sqft,"Beverly Residence 2, JVC District 15, Jumeirah Village Circle (JVC), Dubai, UAE"
Villa,Sale,Unfurnished,"AED
10,500,000",5 beds,5 baths,"4,016 sqft","Harmony 3, Harmony, Tilal Al Ghaf, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,300,000",1 bed,2 baths,959 sqft,"Scala Tower, Business Bay, Dubai, UAE"
Apartment,Sale,Furnished,"AED
13,000,000",3 beds,4 baths,"2,218 sqft","The Address Fountain Views 1, Address Dubai Mall, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Furnished,"AED
7,500,000",3 beds,4 baths,"1,850 sqft","The Address Sky View Tower 1, The Address Residence Sky View, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Furnished,"AED
3,700,000",1 bed,2 baths,"1,156 sqft","The Address Sky View Tower 1, The Address Residence Sky View, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
2,620,000",2 beds,3 baths,"1,237 sqft","Wilton Terraces 2, Sobha Hartland, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,150,000",2 beds,2 baths,"1,099 sqft","The Imperial Residence Podium, The Imperial Residence, JVT District 5, Jumeirah Village Triangle (JVT), Dubai, UAE"
Apartment,Sale,Furnished,"AED
14,000,000",4 beds,5 baths,"2,537 sqft","The Address Sky View Tower 1, The Address Residence Sky View, Downtown Dubai, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
47,000,000",6 beds,7 baths,"13,733 sqft","District One Villas, District One, Mohammed Bin Rashid City, Dubai, UAE"
Townhouse,Sale,Unfurnished,"AED
2,200,000",3 beds,5 baths,"2,100 sqft","Odora, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,700,000",2 beds,3 baths,"1,688 sqft","Azizi Freesia, Al Furjan, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,056,503",2 beds,2 baths,908 sqft,"Forest City Tower, Majan, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,966,699",3 beds,3 baths,"1,844 sqft","Forest City Tower, Majan, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
586,000",Studio,1 bath,405 sqft,"Golf Grove by Regent, Dubai Production City (IMPZ), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
978,000",1 bed,2 baths,746 sqft,"Golf Grove by Regent, Dubai Production City (IMPZ), Dubai, UAE"
Villa,Sale,Unfurnished,"AED
3,600,000",3 beds,3 baths,"1,947 sqft","La Rosa 4, La Rosa, Villanova, Dubailand, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
2,955,581",3 beds,3 baths,"2,180 sqft","The Central Downtown Tower B, The Central Downtown, Arjan, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,056,501",2 beds,2 baths,907 sqft,"Forest City Tower, Majan, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,832,444",2 beds,2 baths,"1,499 sqft","The Community Sports Arena, Dubai Sports City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
907,980",Studio,1 bath,469 sqft,"Sky Suites by Peace Homes, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,950,000",2 beds,3 baths,"1,351 sqft","Divine Living, Arjan, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,809,644",2 beds,2 baths,"1,499 sqft","The Community Sports Arena, Dubai Sports City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,888,494",2 beds,2 baths,"1,644 sqft","The Community Sports Arena, Dubai Sports City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
2,660,000",1 bed,2 baths,"1,143 sqft","Jash Hamad, Shoreline Apartments, Palm Jumeirah, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
9,000,500",4 beds,4 baths,"3,237 sqft","Sidra 1, Sidra Villas, Dubai Hills Estate, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,300,000",1 bed,1 bath,768 sqft,"Elbrus Tower, JVT District 4, Jumeirah Village Triangle (JVT), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
670,000",1 bed,2 baths,931 sqft,"Tala 1, Queue Point, Liwan, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
550,000",Studio,1 bath,482 sqft,"Tenora, Residential District, Dubai South, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,050,000",1 bed,2 baths,"1,049 sqft","Binghatti Haven, Dubai Sports City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
610,000",Studio,1 bath,368 sqft,"Alexis Tower, Downtown Jebel Ali, Jebel Ali, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
610,000",Studio,1 bath,368 sqft,"Alexis Tower, Downtown Jebel Ali, Jebel Ali, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,800,000",2 beds,2 baths,990 sqft,"Sobha Orbis Tower A, Sobha Orbis, Motor City, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,140,000",1 bed,2 baths,762 sqft,"The Haven, Majan, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
985,000",1 bed,2 baths,541 sqft,"Sobha Orbis Tower B, Sobha Orbis, Motor City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,200,000",1 bed,2 baths,670 sqft,"Sobha Orbis Tower E, Sobha Orbis, Motor City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,839,000",1 bed,2 baths,750 sqft,"Diamondz by Danube, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,152,000",1 bed,2 baths,885 sqft,"AARK Residences, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
490,000",Studio,1 bath,527 sqft,"Olimpico Residences, International City Phase 2 (Warsan 4), International City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
3,217,094",2 beds,4 baths,"1,242 sqft","Naya at District One, District One, Mohammed Bin Rashid City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,095,000",1 bed,2 baths,875 sqft,"AARK Residences, Dubai Land Residence Complex, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
5,499,999",4 beds,4 baths,"3,238 sqft","La Tilia, Villanova, Dubailand, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
22,975,000",5 beds,6 baths,"5,981 sqft","Saheel 1, Saheel, Arabian Ranches, Dubai, UAE"
Apartment,Sale,Furnished,"AED
3,300,000",2 beds,2 baths,"1,137 sqft","Sobha One Tower A, Sobha One, Sobha Hartland, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,152,000",1 bed,2 baths,884 sqft,"AARK Residences, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,095,000",1 bed,2 baths,875 sqft,"AARK Residences, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,880,000",3 beds,5 baths,"1,843 sqft","Forest City Tower, Majan, Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,090,000",3 beds,5 baths,"1,843 sqft","Forest City Tower, Majan, Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,200,000",1 bed,1 bath,859 sqft,"Coral Reef by DAMAC, Dubai Maritime City, Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,160,000",2 beds,3 baths,"1,034 sqft","Forest City Tower, Majan, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,300,000",1 bed,2 baths,929 sqft,"Neva Residences, JVC District 16, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Furnished,"AED
1,290,000",2 beds,3 baths,"1,034 sqft","Forest City Tower, Majan, Dubai, UAE"
Apartment,Sale,Furnished,"AED
2,220,000",2 beds,3 baths,"1,371 sqft","DAMAC Maison Mall Street (The Signature), Downtown Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,130,000",1 bed,2 baths,806 sqft,"Samana Ibiza, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,064,000",1 bed,2 baths,806 sqft,"Samana Ibiza, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Furnished,"AED
860,000",1 bed,2 baths,693 sqft,"Forest City Tower, Majan, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,144,000",1 bed,2 baths,"1,203 sqft","Minati Homes 1, Al Furjan West, Al Furjan, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,332,222",1 bed,2 baths,806 sqft,"Samana Ibiza, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
340,000",Studio,1 bath,478 sqft,"S-12, Spain Cluster, International City, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,190,000",1 bed,2 baths,808 sqft,"Samana Ibiza, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
12,500,000",3 beds,3 baths,"1,881 sqft","The Address Fountain Views 2, Address Dubai Mall, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,175,000",1 bed,2 baths,861 sqft,"Pearl House 2, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
752,000",Studio,1 bath,585 sqft,"Samana Ibiza, Dubai Land Residence Complex, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
16,000,000",6 beds,10 baths,"7,747 sqft","The Acres 3 & Estates, The Acres, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
799,000",Studio,1 bath,585 sqft,"Samana Ibiza, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
840,000",Studio,1 bath,585 sqft,"Samana Ibiza, Dubai Land Residence Complex, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
15,501,000",5 beds,9 baths,"7,396 sqft","The Acres 3 & Estates, The Acres, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
13,950,000",4 beds,4 baths,"4,135 sqft","Whispering Pines, Jumeirah Golf Estates, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,400,000",1 bed,1 bath,917 sqft,"The Central Downtown Tower D, The Central Downtown, Arjan, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
16,083,000",5 beds,9 baths,"7,395 sqft","The Acres 3 & Estates, The Acres, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,770,000",2 beds,3 baths,"1,239 sqft","Nadine Residence 2, Nadine Residence, Al Furjan, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,590,000",2 beds,2 baths,"1,099 sqft","Binghatti Azure, JVC District 16, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
1,600,000",2 beds,2 baths,"1,159 sqft","Paradise View 1, Majan, Dubai, UAE"
Villa,Sale,Unfurnished,"AED
15,528,000",5 beds,9 baths,"7,396 sqft","The Acres 3 & Estates, The Acres, Dubai, UAE"
Apartment,Sale,Unfurnished,"AED
305,000",Studio,1 bath,484 sqft,"U-19, Italy Cluster, International City, Dubai, UAE"
